,module_category,component_category,year,month,time
0,M1,P02,2010,1,25
1,M1,P02,2010,2,26
2,M1,P02,2010,3,27
3,M1,P02,2010,4,28
4,M1,P02,2010,5,29
5,M1,P02,2010,6,30
6,M1,P02,2010,7,31
7,M1,P02,2010,8,32
8,M1,P02,2010,9,33
9,M1,P02,2010,10,34
10,M1,P02,2010,11,35
11,M1,P02,2010,12,36
12,M1,P02,2011,1,37
13,M1,P02,2011,2,38
14,M1,P02,2011,3,39
15,M1,P02,2011,4,40
16,M1,P02,2011,5,41
17,M1,P02,2011,6,42
18,M1,P02,2011,7,43
19,M1,P04,2010,1,25
20,M1,P04,2010,2,26
21,M1,P04,2010,3,27
22,M1,P04,2010,4,28
23,M1,P04,2010,5,29
24,M1,P04,2010,6,30
25,M1,P04,2010,7,31
26,M1,P04,2010,8,32
27,M1,P04,2010,9,33
28,M1,P04,2010,10,34
29,M1,P04,2010,11,35
30,M1,P04,2010,12,36
31,M1,P04,2011,1,37
32,M1,P04,2011,2,38
33,M1,P04,2011,3,39
34,M1,P04,2011,4,40
35,M1,P04,2011,5,41
36,M1,P04,2011,6,42
37,M1,P04,2011,7,43
38,M1,P05,2010,1,25
39,M1,P05,2010,2,26
40,M1,P05,2010,3,27
41,M1,P05,2010,4,28
42,M1,P05,2010,5,29
43,M1,P05,2010,6,30
44,M1,P05,2010,7,31
45,M1,P05,2010,8,32
46,M1,P05,2010,9,33
47,M1,P05,2010,10,34
48,M1,P05,2010,11,35
49,M1,P05,2010,12,36
50,M1,P05,2011,1,37
51,M1,P05,2011,2,38
52,M1,P05,2011,3,39
53,M1,P05,2011,4,40
54,M1,P05,2011,5,41
55,M1,P05,2011,6,42
56,M1,P05,2011,7,43
57,M1,P06,2010,1,25
58,M1,P06,2010,2,26
59,M1,P06,2010,3,27
60,M1,P06,2010,4,28
61,M1,P06,2010,5,29
62,M1,P06,2010,6,30
63,M1,P06,2010,7,31
64,M1,P06,2010,8,32
65,M1,P06,2010,9,33
66,M1,P06,2010,10,34
67,M1,P06,2010,11,35
68,M1,P06,2010,12,36
69,M1,P06,2011,1,37
70,M1,P06,2011,2,38
71,M1,P06,2011,3,39
72,M1,P06,2011,4,40
73,M1,P06,2011,5,41
74,M1,P06,2011,6,42
75,M1,P06,2011,7,43
76,M1,P09,2010,1,25
77,M1,P09,2010,2,26
78,M1,P09,2010,3,27
79,M1,P09,2010,4,28
80,M1,P09,2010,5,29
81,M1,P09,2010,6,30
82,M1,P09,2010,7,31
83,M1,P09,2010,8,32
84,M1,P09,2010,9,33
85,M1,P09,2010,10,34
86,M1,P09,2010,11,35
87,M1,P09,2010,12,36
88,M1,P09,2011,1,37
89,M1,P09,2011,2,38
90,M1,P09,2011,3,39
91,M1,P09,2011,4,40
92,M1,P09,2011,5,41
93,M1,P09,2011,6,42
94,M1,P09,2011,7,43
95,M1,P10,2010,1,25
96,M1,P10,2010,2,26
97,M1,P10,2010,3,27
98,M1,P10,2010,4,28
99,M1,P10,2010,5,29
100,M1,P10,2010,6,30
101,M1,P10,2010,7,31
102,M1,P10,2010,8,32
103,M1,P10,2010,9,33
104,M1,P10,2010,10,34
105,M1,P10,2010,11,35
106,M1,P10,2010,12,36
107,M1,P10,2011,1,37
108,M1,P10,2011,2,38
109,M1,P10,2011,3,39
110,M1,P10,2011,4,40
111,M1,P10,2011,5,41
112,M1,P10,2011,6,42
113,M1,P10,2011,7,43
114,M1,P11,2010,1,25
115,M1,P11,2010,2,26
116,M1,P11,2010,3,27
117,M1,P11,2010,4,28
118,M1,P11,2010,5,29
119,M1,P11,2010,6,30
120,M1,P11,2010,7,31
121,M1,P11,2010,8,32
122,M1,P11,2010,9,33
123,M1,P11,2010,10,34
124,M1,P11,2010,11,35
125,M1,P11,2010,12,36
126,M1,P11,2011,1,37
127,M1,P11,2011,2,38
128,M1,P11,2011,3,39
129,M1,P11,2011,4,40
130,M1,P11,2011,5,41
131,M1,P11,2011,6,42
132,M1,P11,2011,7,43
133,M1,P12,2010,1,25
134,M1,P12,2010,2,26
135,M1,P12,2010,3,27
136,M1,P12,2010,4,28
137,M1,P12,2010,5,29
138,M1,P12,2010,6,30
139,M1,P12,2010,7,31
140,M1,P12,2010,8,32
141,M1,P12,2010,9,33
142,M1,P12,2010,10,34
143,M1,P12,2010,11,35
144,M1,P12,2010,12,36
145,M1,P12,2011,1,37
146,M1,P12,2011,2,38
147,M1,P12,2011,3,39
148,M1,P12,2011,4,40
149,M1,P12,2011,5,41
150,M1,P12,2011,6,42
151,M1,P12,2011,7,43
152,M1,P13,2010,1,25
153,M1,P13,2010,2,26
154,M1,P13,2010,3,27
155,M1,P13,2010,4,28
156,M1,P13,2010,5,29
157,M1,P13,2010,6,30
158,M1,P13,2010,7,31
159,M1,P13,2010,8,32
160,M1,P13,2010,9,33
161,M1,P13,2010,10,34
162,M1,P13,2010,11,35
163,M1,P13,2010,12,36
164,M1,P13,2011,1,37
165,M1,P13,2011,2,38
166,M1,P13,2011,3,39
167,M1,P13,2011,4,40
168,M1,P13,2011,5,41
169,M1,P13,2011,6,42
170,M1,P13,2011,7,43
171,M1,P15,2010,1,25
172,M1,P15,2010,2,26
173,M1,P15,2010,3,27
174,M1,P15,2010,4,28
175,M1,P15,2010,5,29
176,M1,P15,2010,6,30
177,M1,P15,2010,7,31
178,M1,P15,2010,8,32
179,M1,P15,2010,9,33
180,M1,P15,2010,10,34
181,M1,P15,2010,11,35
182,M1,P15,2010,12,36
183,M1,P15,2011,1,37
184,M1,P15,2011,2,38
185,M1,P15,2011,3,39
186,M1,P15,2011,4,40
187,M1,P15,2011,5,41
188,M1,P15,2011,6,42
189,M1,P15,2011,7,43
190,M1,P16,2010,1,25
191,M1,P16,2010,2,26
192,M1,P16,2010,3,27
193,M1,P16,2010,4,28
194,M1,P16,2010,5,29
195,M1,P16,2010,6,30
196,M1,P16,2010,7,31
197,M1,P16,2010,8,32
198,M1,P16,2010,9,33
199,M1,P16,2010,10,34
200,M1,P16,2010,11,35
201,M1,P16,2010,12,36
202,M1,P16,2011,1,37
203,M1,P16,2011,2,38
204,M1,P16,2011,3,39
205,M1,P16,2011,4,40
206,M1,P16,2011,5,41
207,M1,P16,2011,6,42
208,M1,P16,2011,7,43
209,M1,P17,2010,1,25
210,M1,P17,2010,2,26
211,M1,P17,2010,3,27
212,M1,P17,2010,4,28
213,M1,P17,2010,5,29
214,M1,P17,2010,6,30
215,M1,P17,2010,7,31
216,M1,P17,2010,8,32
217,M1,P17,2010,9,33
218,M1,P17,2010,10,34
219,M1,P17,2010,11,35
220,M1,P17,2010,12,36
221,M1,P17,2011,1,37
222,M1,P17,2011,2,38
223,M1,P17,2011,3,39
224,M1,P17,2011,4,40
225,M1,P17,2011,5,41
226,M1,P17,2011,6,42
227,M1,P17,2011,7,43
228,M1,P19,2010,1,25
229,M1,P19,2010,2,26
230,M1,P19,2010,3,27
231,M1,P19,2010,4,28
232,M1,P19,2010,5,29
233,M1,P19,2010,6,30
234,M1,P19,2010,7,31
235,M1,P19,2010,8,32
236,M1,P19,2010,9,33
237,M1,P19,2010,10,34
238,M1,P19,2010,11,35
239,M1,P19,2010,12,36
240,M1,P19,2011,1,37
241,M1,P19,2011,2,38
242,M1,P19,2011,3,39
243,M1,P19,2011,4,40
244,M1,P19,2011,5,41
245,M1,P19,2011,6,42
246,M1,P19,2011,7,43
247,M1,P20,2010,1,25
248,M1,P20,2010,2,26
249,M1,P20,2010,3,27
250,M1,P20,2010,4,28
251,M1,P20,2010,5,29
252,M1,P20,2010,6,30
253,M1,P20,2010,7,31
254,M1,P20,2010,8,32
255,M1,P20,2010,9,33
256,M1,P20,2010,10,34
257,M1,P20,2010,11,35
258,M1,P20,2010,12,36
259,M1,P20,2011,1,37
260,M1,P20,2011,2,38
261,M1,P20,2011,3,39
262,M1,P20,2011,4,40
263,M1,P20,2011,5,41
264,M1,P20,2011,6,42
265,M1,P20,2011,7,43
266,M1,P21,2010,1,25
267,M1,P21,2010,2,26
268,M1,P21,2010,3,27
269,M1,P21,2010,4,28
270,M1,P21,2010,5,29
271,M1,P21,2010,6,30
272,M1,P21,2010,7,31
273,M1,P21,2010,8,32
274,M1,P21,2010,9,33
275,M1,P21,2010,10,34
276,M1,P21,2010,11,35
277,M1,P21,2010,12,36
278,M1,P21,2011,1,37
279,M1,P21,2011,2,38
280,M1,P21,2011,3,39
281,M1,P21,2011,4,40
282,M1,P21,2011,5,41
283,M1,P21,2011,6,42
284,M1,P21,2011,7,43
285,M1,P22,2010,1,25
286,M1,P22,2010,2,26
287,M1,P22,2010,3,27
288,M1,P22,2010,4,28
289,M1,P22,2010,5,29
290,M1,P22,2010,6,30
291,M1,P22,2010,7,31
292,M1,P22,2010,8,32
293,M1,P22,2010,9,33
294,M1,P22,2010,10,34
295,M1,P22,2010,11,35
296,M1,P22,2010,12,36
297,M1,P22,2011,1,37
298,M1,P22,2011,2,38
299,M1,P22,2011,3,39
300,M1,P22,2011,4,40
301,M1,P22,2011,5,41
302,M1,P22,2011,6,42
303,M1,P22,2011,7,43
304,M1,P24,2010,1,25
305,M1,P24,2010,2,26
306,M1,P24,2010,3,27
307,M1,P24,2010,4,28
308,M1,P24,2010,5,29
309,M1,P24,2010,6,30
310,M1,P24,2010,7,31
311,M1,P24,2010,8,32
312,M1,P24,2010,9,33
313,M1,P24,2010,10,34
314,M1,P24,2010,11,35
315,M1,P24,2010,12,36
316,M1,P24,2011,1,37
317,M1,P24,2011,2,38
318,M1,P24,2011,3,39
319,M1,P24,2011,4,40
320,M1,P24,2011,5,41
321,M1,P24,2011,6,42
322,M1,P24,2011,7,43
323,M1,P25,2010,1,25
324,M1,P25,2010,2,26
325,M1,P25,2010,3,27
326,M1,P25,2010,4,28
327,M1,P25,2010,5,29
328,M1,P25,2010,6,30
329,M1,P25,2010,7,31
330,M1,P25,2010,8,32
331,M1,P25,2010,9,33
332,M1,P25,2010,10,34
333,M1,P25,2010,11,35
334,M1,P25,2010,12,36
335,M1,P25,2011,1,37
336,M1,P25,2011,2,38
337,M1,P25,2011,3,39
338,M1,P25,2011,4,40
339,M1,P25,2011,5,41
340,M1,P25,2011,6,42
341,M1,P25,2011,7,43
342,M1,P26,2010,1,25
343,M1,P26,2010,2,26
344,M1,P26,2010,3,27
345,M1,P26,2010,4,28
346,M1,P26,2010,5,29
347,M1,P26,2010,6,30
348,M1,P26,2010,7,31
349,M1,P26,2010,8,32
350,M1,P26,2010,9,33
351,M1,P26,2010,10,34
352,M1,P26,2010,11,35
353,M1,P26,2010,12,36
354,M1,P26,2011,1,37
355,M1,P26,2011,2,38
356,M1,P26,2011,3,39
357,M1,P26,2011,4,40
358,M1,P26,2011,5,41
359,M1,P26,2011,6,42
360,M1,P26,2011,7,43
361,M1,P27,2010,1,25
362,M1,P27,2010,2,26
363,M1,P27,2010,3,27
364,M1,P27,2010,4,28
365,M1,P27,2010,5,29
366,M1,P27,2010,6,30
367,M1,P27,2010,7,31
368,M1,P27,2010,8,32
369,M1,P27,2010,9,33
370,M1,P27,2010,10,34
371,M1,P27,2010,11,35
372,M1,P27,2010,12,36
373,M1,P27,2011,1,37
374,M1,P27,2011,2,38
375,M1,P27,2011,3,39
376,M1,P27,2011,4,40
377,M1,P27,2011,5,41
378,M1,P27,2011,6,42
379,M1,P27,2011,7,43
380,M1,P28,2010,1,25
381,M1,P28,2010,2,26
382,M1,P28,2010,3,27
383,M1,P28,2010,4,28
384,M1,P28,2010,5,29
385,M1,P28,2010,6,30
386,M1,P28,2010,7,31
387,M1,P28,2010,8,32
388,M1,P28,2010,9,33
389,M1,P28,2010,10,34
390,M1,P28,2010,11,35
391,M1,P28,2010,12,36
392,M1,P28,2011,1,37
393,M1,P28,2011,2,38
394,M1,P28,2011,3,39
395,M1,P28,2011,4,40
396,M1,P28,2011,5,41
397,M1,P28,2011,6,42
398,M1,P28,2011,7,43
399,M1,P30,2010,1,25
400,M1,P30,2010,2,26
401,M1,P30,2010,3,27
402,M1,P30,2010,4,28
403,M1,P30,2010,5,29
404,M1,P30,2010,6,30
405,M1,P30,2010,7,31
406,M1,P30,2010,8,32
407,M1,P30,2010,9,33
408,M1,P30,2010,10,34
409,M1,P30,2010,11,35
410,M1,P30,2010,12,36
411,M1,P30,2011,1,37
412,M1,P30,2011,2,38
413,M1,P30,2011,3,39
414,M1,P30,2011,4,40
415,M1,P30,2011,5,41
416,M1,P30,2011,6,42
417,M1,P30,2011,7,43
418,M1,P31,2010,1,25
419,M1,P31,2010,2,26
420,M1,P31,2010,3,27
421,M1,P31,2010,4,28
422,M1,P31,2010,5,29
423,M1,P31,2010,6,30
424,M1,P31,2010,7,31
425,M1,P31,2010,8,32
426,M1,P31,2010,9,33
427,M1,P31,2010,10,34
428,M1,P31,2010,11,35
429,M1,P31,2010,12,36
430,M1,P31,2011,1,37
431,M1,P31,2011,2,38
432,M1,P31,2011,3,39
433,M1,P31,2011,4,40
434,M1,P31,2011,5,41
435,M1,P31,2011,6,42
436,M1,P31,2011,7,43
437,M2,P01,2010,1,25
438,M2,P01,2010,2,26
439,M2,P01,2010,3,27
440,M2,P01,2010,4,28
441,M2,P01,2010,5,29
442,M2,P01,2010,6,30
443,M2,P01,2010,7,31
444,M2,P01,2010,8,32
445,M2,P01,2010,9,33
446,M2,P01,2010,10,34
447,M2,P01,2010,11,35
448,M2,P01,2010,12,36
449,M2,P01,2011,1,37
450,M2,P01,2011,2,38
451,M2,P01,2011,3,39
452,M2,P01,2011,4,40
453,M2,P01,2011,5,41
454,M2,P01,2011,6,42
455,M2,P01,2011,7,43
456,M2,P02,2010,1,25
457,M2,P02,2010,2,26
458,M2,P02,2010,3,27
459,M2,P02,2010,4,28
460,M2,P02,2010,5,29
461,M2,P02,2010,6,30
462,M2,P02,2010,7,31
463,M2,P02,2010,8,32
464,M2,P02,2010,9,33
465,M2,P02,2010,10,34
466,M2,P02,2010,11,35
467,M2,P02,2010,12,36
468,M2,P02,2011,1,37
469,M2,P02,2011,2,38
470,M2,P02,2011,3,39
471,M2,P02,2011,4,40
472,M2,P02,2011,5,41
473,M2,P02,2011,6,42
474,M2,P02,2011,7,43
475,M2,P04,2010,1,25
476,M2,P04,2010,2,26
477,M2,P04,2010,3,27
478,M2,P04,2010,4,28
479,M2,P04,2010,5,29
480,M2,P04,2010,6,30
481,M2,P04,2010,7,31
482,M2,P04,2010,8,32
483,M2,P04,2010,9,33
484,M2,P04,2010,10,34
485,M2,P04,2010,11,35
486,M2,P04,2010,12,36
487,M2,P04,2011,1,37
488,M2,P04,2011,2,38
489,M2,P04,2011,3,39
490,M2,P04,2011,4,40
491,M2,P04,2011,5,41
492,M2,P04,2011,6,42
493,M2,P04,2011,7,43
494,M2,P05,2010,1,25
495,M2,P05,2010,2,26
496,M2,P05,2010,3,27
497,M2,P05,2010,4,28
498,M2,P05,2010,5,29
499,M2,P05,2010,6,30
500,M2,P05,2010,7,31
501,M2,P05,2010,8,32
502,M2,P05,2010,9,33
503,M2,P05,2010,10,34
504,M2,P05,2010,11,35
505,M2,P05,2010,12,36
506,M2,P05,2011,1,37
507,M2,P05,2011,2,38
508,M2,P05,2011,3,39
509,M2,P05,2011,4,40
510,M2,P05,2011,5,41
511,M2,P05,2011,6,42
512,M2,P05,2011,7,43
513,M2,P06,2010,1,25
514,M2,P06,2010,2,26
515,M2,P06,2010,3,27
516,M2,P06,2010,4,28
517,M2,P06,2010,5,29
518,M2,P06,2010,6,30
519,M2,P06,2010,7,31
520,M2,P06,2010,8,32
521,M2,P06,2010,9,33
522,M2,P06,2010,10,34
523,M2,P06,2010,11,35
524,M2,P06,2010,12,36
525,M2,P06,2011,1,37
526,M2,P06,2011,2,38
527,M2,P06,2011,3,39
528,M2,P06,2011,4,40
529,M2,P06,2011,5,41
530,M2,P06,2011,6,42
531,M2,P06,2011,7,43
532,M2,P07,2010,1,25
533,M2,P07,2010,2,26
534,M2,P07,2010,3,27
535,M2,P07,2010,4,28
536,M2,P07,2010,5,29
537,M2,P07,2010,6,30
538,M2,P07,2010,7,31
539,M2,P07,2010,8,32
540,M2,P07,2010,9,33
541,M2,P07,2010,10,34
542,M2,P07,2010,11,35
543,M2,P07,2010,12,36
544,M2,P07,2011,1,37
545,M2,P07,2011,2,38
546,M2,P07,2011,3,39
547,M2,P07,2011,4,40
548,M2,P07,2011,5,41
549,M2,P07,2011,6,42
550,M2,P07,2011,7,43
551,M2,P08,2010,1,25
552,M2,P08,2010,2,26
553,M2,P08,2010,3,27
554,M2,P08,2010,4,28
555,M2,P08,2010,5,29
556,M2,P08,2010,6,30
557,M2,P08,2010,7,31
558,M2,P08,2010,8,32
559,M2,P08,2010,9,33
560,M2,P08,2010,10,34
561,M2,P08,2010,11,35
562,M2,P08,2010,12,36
563,M2,P08,2011,1,37
564,M2,P08,2011,2,38
565,M2,P08,2011,3,39
566,M2,P08,2011,4,40
567,M2,P08,2011,5,41
568,M2,P08,2011,6,42
569,M2,P08,2011,7,43
570,M2,P09,2010,1,25
571,M2,P09,2010,2,26
572,M2,P09,2010,3,27
573,M2,P09,2010,4,28
574,M2,P09,2010,5,29
575,M2,P09,2010,6,30
576,M2,P09,2010,7,31
577,M2,P09,2010,8,32
578,M2,P09,2010,9,33
579,M2,P09,2010,10,34
580,M2,P09,2010,11,35
581,M2,P09,2010,12,36
582,M2,P09,2011,1,37
583,M2,P09,2011,2,38
584,M2,P09,2011,3,39
585,M2,P09,2011,4,40
586,M2,P09,2011,5,41
587,M2,P09,2011,6,42
588,M2,P09,2011,7,43
589,M2,P10,2010,1,25
590,M2,P10,2010,2,26
591,M2,P10,2010,3,27
592,M2,P10,2010,4,28
593,M2,P10,2010,5,29
594,M2,P10,2010,6,30
595,M2,P10,2010,7,31
596,M2,P10,2010,8,32
597,M2,P10,2010,9,33
598,M2,P10,2010,10,34
599,M2,P10,2010,11,35
600,M2,P10,2010,12,36
601,M2,P10,2011,1,37
602,M2,P10,2011,2,38
603,M2,P10,2011,3,39
604,M2,P10,2011,4,40
605,M2,P10,2011,5,41
606,M2,P10,2011,6,42
607,M2,P10,2011,7,43
608,M2,P11,2010,1,25
609,M2,P11,2010,2,26
610,M2,P11,2010,3,27
611,M2,P11,2010,4,28
612,M2,P11,2010,5,29
613,M2,P11,2010,6,30
614,M2,P11,2010,7,31
615,M2,P11,2010,8,32
616,M2,P11,2010,9,33
617,M2,P11,2010,10,34
618,M2,P11,2010,11,35
619,M2,P11,2010,12,36
620,M2,P11,2011,1,37
621,M2,P11,2011,2,38
622,M2,P11,2011,3,39
623,M2,P11,2011,4,40
624,M2,P11,2011,5,41
625,M2,P11,2011,6,42
626,M2,P11,2011,7,43
627,M2,P12,2010,1,25
628,M2,P12,2010,2,26
629,M2,P12,2010,3,27
630,M2,P12,2010,4,28
631,M2,P12,2010,5,29
632,M2,P12,2010,6,30
633,M2,P12,2010,7,31
634,M2,P12,2010,8,32
635,M2,P12,2010,9,33
636,M2,P12,2010,10,34
637,M2,P12,2010,11,35
638,M2,P12,2010,12,36
639,M2,P12,2011,1,37
640,M2,P12,2011,2,38
641,M2,P12,2011,3,39
642,M2,P12,2011,4,40
643,M2,P12,2011,5,41
644,M2,P12,2011,6,42
645,M2,P12,2011,7,43
646,M2,P13,2010,1,25
647,M2,P13,2010,2,26
648,M2,P13,2010,3,27
649,M2,P13,2010,4,28
650,M2,P13,2010,5,29
651,M2,P13,2010,6,30
652,M2,P13,2010,7,31
653,M2,P13,2010,8,32
654,M2,P13,2010,9,33
655,M2,P13,2010,10,34
656,M2,P13,2010,11,35
657,M2,P13,2010,12,36
658,M2,P13,2011,1,37
659,M2,P13,2011,2,38
660,M2,P13,2011,3,39
661,M2,P13,2011,4,40
662,M2,P13,2011,5,41
663,M2,P13,2011,6,42
664,M2,P13,2011,7,43
665,M2,P14,2010,1,25
666,M2,P14,2010,2,26
667,M2,P14,2010,3,27
668,M2,P14,2010,4,28
669,M2,P14,2010,5,29
670,M2,P14,2010,6,30
671,M2,P14,2010,7,31
672,M2,P14,2010,8,32
673,M2,P14,2010,9,33
674,M2,P14,2010,10,34
675,M2,P14,2010,11,35
676,M2,P14,2010,12,36
677,M2,P14,2011,1,37
678,M2,P14,2011,2,38
679,M2,P14,2011,3,39
680,M2,P14,2011,4,40
681,M2,P14,2011,5,41
682,M2,P14,2011,6,42
683,M2,P14,2011,7,43
684,M2,P15,2010,1,25
685,M2,P15,2010,2,26
686,M2,P15,2010,3,27
687,M2,P15,2010,4,28
688,M2,P15,2010,5,29
689,M2,P15,2010,6,30
690,M2,P15,2010,7,31
691,M2,P15,2010,8,32
692,M2,P15,2010,9,33
693,M2,P15,2010,10,34
694,M2,P15,2010,11,35
695,M2,P15,2010,12,36
696,M2,P15,2011,1,37
697,M2,P15,2011,2,38
698,M2,P15,2011,3,39
699,M2,P15,2011,4,40
700,M2,P15,2011,5,41
701,M2,P15,2011,6,42
702,M2,P15,2011,7,43
703,M2,P16,2010,1,25
704,M2,P16,2010,2,26
705,M2,P16,2010,3,27
706,M2,P16,2010,4,28
707,M2,P16,2010,5,29
708,M2,P16,2010,6,30
709,M2,P16,2010,7,31
710,M2,P16,2010,8,32
711,M2,P16,2010,9,33
712,M2,P16,2010,10,34
713,M2,P16,2010,11,35
714,M2,P16,2010,12,36
715,M2,P16,2011,1,37
716,M2,P16,2011,2,38
717,M2,P16,2011,3,39
718,M2,P16,2011,4,40
719,M2,P16,2011,5,41
720,M2,P16,2011,6,42
721,M2,P16,2011,7,43
722,M2,P17,2010,1,25
723,M2,P17,2010,2,26
724,M2,P17,2010,3,27
725,M2,P17,2010,4,28
726,M2,P17,2010,5,29
727,M2,P17,2010,6,30
728,M2,P17,2010,7,31
729,M2,P17,2010,8,32
730,M2,P17,2010,9,33
731,M2,P17,2010,10,34
732,M2,P17,2010,11,35
733,M2,P17,2010,12,36
734,M2,P17,2011,1,37
735,M2,P17,2011,2,38
736,M2,P17,2011,3,39
